commit,auth_date,author,subject,category
f1e01107,2025-10-07,yangdx,Merge branch 'kevinnkansah/main',misc
9f44e89d,2025-10-08,NeelM0906,Add knowledge graph manipulation endpoints,misc
ae9f4ae7,2025-10-09,Yasiru,Rangana fix: Remove trailing whitespace for pre-commit linting,misc
b7c77396,2025-10-09,NeelM0906,Fix entity/relation creation endpoints to properly update vector stores,misc
f6d1fb98,2025-10-09,NeelM0906,Fix Linting errors,misc
12facac5,2025-10-10,yangdx,Enhance graph API endpoints with detailed docs and field validation,misc
648d7bb1,2025-10-10,yangdx,Refactor Helm template to handle optional envFrom values safely,misc
85d1a563,2025-10-10,yangdx,Merge branch 'adminunblinded/main',misc
b81b8620,2025-10-10,kevinnkansah,chore: update deps,misc
d0ae7a67,2025-10-10,yangdx,Fix typos and grammar in env.example configuration comments,misc
fea10cd0,2025-10-10,yangdx,Merge branch 'chart-enchancment',misc
1a4d6775,2025-10-11,杨广,i18n: fix mustache brackets,misc
49326f2b,2025-10-11,Daniel.y,Merge pull request #2194 from danielaskdd/offline,misc
766f27da,2025-10-11,Daniel.y,Merge pull request #2193 from kevinnkansah/main,misc
7cddd564,2025-10-11,yangdx,Revert core version to 1.4.9..2,misc
b7216ede,2025-10-11,yangdx,Fix linting,misc
e1e4f1b0,2025-10-11,yangdx,Fix get_by_ids to return None for missing records consistently,misc
074f0c8b,2025-10-12,yangdx,Update docstring for adelete_by_doc_id method clarity,misc
2d9334d3,2025-10-12,yangdx,Simplify Root component by removing async i18n initialization,misc
44f51f88,2025-10-12,yangdx,Add fallback value for accordion content height CSS variable,misc
5290b60e,2025-10-12,Daniel.y,Merge pull request #2196 from zl7261/main,misc
f2fb1202,2025-10-12,yangdx,Move accordion keyframes from CSS to Tailwind config and add fallback 'auto' value,misc
6c05f0f8,2025-10-13,yangdx,Fix linting,misc
be9e6d16,2025-10-13,yangdx,Exclude Frontend Build Artifacts from Git Repository,misc
cc436910,2025-10-13,yangdx,Merge branch 'kevinnkansah/main',misc
130b4959,2025-10-14,yangdx,Add PREPROCESSED (multimodal_processed) status for multimodal document processing,misc
4e740af7,2025-10-14,haseebuchiha,Import from env and use default if none and removed useless import,misc
50210e25,2025-10-14,yangdx,Add @tailwindcss/typography plugin and fix Tailwind config,misc
5ace200b,2025-10-14,Daniel.y,Merge pull request #2208 from danielaskdd/remove-fontend-artifact,misc
64900b54,2025-10-14,yangdx,Add frontend source code update warning,misc
8bf41131,2025-10-14,yangdx,Standardize build commands and remove --emptyOutDir flag,misc
92a66565,2025-10-14,Daniel.y,Merge pull request #2211 from HKUDS/add-preprocessed-status,misc
965d8b16,2025-10-14,yangdx,Merge branch 'add-preprocessed-status',misc
a8bbce3a,2025-10-14,yangdx,Use frozen lockfile for consistent frontend builds,misc
d52c3377,2025-10-14,haseebuchiha,Import from env and use default if none and removed useless import,misc
ee45ab51,2025-10-14,yangdx,Move frontend build check from setup.py to runtime server startup,misc
17c2a929,2025-10-15,DivinesLight,Get max source Id config from .env and lightRAG init,misc
29bac49f,2025-10-15,yangdx,Handle empty query results by returning None instead of fail responses,misc
433ec813,2025-10-15,yangdx,Improve offline installation with constraints and version bounds,misc
7f223d5a,2025-10-15,yangdx,Fix linting,misc
83b10a52,2025-10-15,Daniel.y,Merge pull request #2218 from danielaskdd/issue-2215,misc
c06522b9,2025-10-15,DivinesLight,Get max source Id config from .env and lightRAG init,misc
8cc8bbf4,2025-10-16,yangdx,Change Docker build cache mode from max to min,misc
8e3497dc,2025-10-16,yangdx,Update comments,misc
c61b7bd4,2025-10-16,yangdx,Remove torch and transformers from offline dependency groups,misc
ef6ed429,2025-10-16,yangdx,Optimize Docker builds with layer caching and add pip for runtime installs,misc
03333d63,2025-10-17,yangdx,Merge branch 'main' into limit-vdb-metadata-size,misc
04d23671,2025-10-17,yangdx,Fix redoc access problem in front-end dev mode,misc
06ed2d06,2025-10-17,yangdx,Merge branch 'main' into remove-dotenv,misc
1642710f,2025-10-17,yangdx,Remove dotenv dependency from project,misc
46ac5dac,2025-10-17,yangdx,Improve API description formatting and add ReDoc link,misc
4c3ab584,2025-10-17,yangdx,Improve AsyncSelect layout and text overflow handling,misc
6b37d3ca,2025-10-17,yangdx,Merge branch 'feat-entity-size-caps' into limit-vdb-metadata-size,misc
9f49e56a,2025-10-17,yangdx,Merge branch 'main' into feat-entity-size-caps,misc
c0a87ca7,2025-10-17,yangdx,Merge branch 'remove-dotenv',misc
f45dce34,2025-10-17,yangdx,Fix cache control error of index.html,misc
f5558240,2025-10-17,yangdx,Fix tuple delimiter corruption handling in regex patterns,misc
012aaada,2025-10-18,yangdx,Update Swagger API key status description text,misc
813f4af9,2025-10-18,yangdx,Fix linting,misc
bdadaa67,2025-10-18,yangdx,Merge branch 'main' into limit-vdb-metadata-size,misc
637b850e,2025-10-20,yangdx,Add truncation indicator and update property labels in graph view,misc
a9fec267,2025-10-20,yangdx,Add file path limit configuration for entities and relations,misc
e01c998e,2025-10-20,yangdx,Track placeholders in file paths for accurate source count display,misc
1248b3ab,2025-10-21,yangdx,Increase default limits for source IDs and file paths in metadata,misc
3ad616be,2025-10-21,yangdx,Change default source IDs limit method from KEEP to FIFO,misc
3ed2abd8,2025-10-21,yangdx,Improve logging to show source ID ratios when skipping entities/edges,misc
665f60b9,2025-10-21,yangdx,Refactor entity/relation merge to consolidate VDB operations within functions,misc
80668aae,2025-10-21,yangdx,Improve file path truncation labels and UI consistency,misc
a809245a,2025-10-21,yangdx,Preserve file path order by using lists instead of sets,misc
aee0afdd,2025-10-21,Daniel.y,Merge pull request #2240 from danielaskdd/limit-vdb-metadata-size,misc
be3d274a,2025-10-21,yangdx,Refactor node and edge merging logic with improved code structure,misc
cd1c48be,2025-10-21,yangdx,Standardize placeholder format to use colon separator consistently,misc
fe890fca,2025-10-21,yangdx,Improve formatting of limit method info in rebuild functions,misc
04d9fe02,2025-10-22,xiaojunxiang,Merge branch 'HKUDS:main' into main,misc
06533fdb,2025-10-22,Daniel.y,Merge pull request #2248 from danielaskdd/preprocess-rayanything,misc
20edd329,2025-10-22,Daniel.y,Merge pull request #2244 from danielaskdd/del-doc-cache,misc
3ba1d75c,2025-10-22,Daniel.y,Merge pull request #2243 from xiaojunxiang2023/main,misc
8dc23eef,2025-10-22,yangdx,Fix RayAnything compatible problem,misc
904b1f46,2025-10-22,yangdx,Add entity name length truncation with configurable limit,misc
b76350a3,2025-10-22,yangdx,Fix linting,misc
c92ab837,2025-10-22,yangdx,Fix linting,misc
cf2174b9,2025-10-22,Daniel.y,Merge pull request #2245 from danielaskdd/entity-name-len,misc
d392db7b,2025-10-22,Daniel.y,Fix typo in 'equipment' in prompt.py,misc
d7e2527e,2025-10-22,yangdx,Handle cache deletion errors gracefully instead of raising exceptions,misc
f24a2616,2025-10-23,Mobious,Allow users to provide keywords with QueryRequest,misc
78ad8873,2025-10-24,yangdx,Add cancellation check in delete loop,misc
083b163c,2025-10-25,yangdx,Improve lock logging with consistent messaging and debug levels,misc
11f1f366,2025-10-25,Daniel.y,Merge pull request #2262 from danielaskdd/sort-edge,misc
3ad4f12f,2025-10-25,Daniel.y,Merge pull request #2259 from danielaskdd/data-migration-problem,misc
5ee9a2f8,2025-10-25,yangdx,Fix entity consistency in knowledge graph rebuilding and merging,misc
97a2ee4e,2025-10-25,yangdx,Rename rebuild function name and improve relationship logging format,misc
9ed19695,2025-10-25,yangdx,Remove separate retry button and merge functionality into scan button,misc
a9bc3484,2025-10-25,yangdx,Remove enable_logging parameter from data init lock call,misc
c82485d9,2025-10-25,Daniel.y,Merge pull request #2253 from Mobious/main,misc
38559373,2025-10-26,yangdx,Fix entity merging to include target entity relationships,misc
6015e8bc,2025-10-26,yangdx,Refactor graph utils to use unified persistence callback,misc
69b4cda2,2025-10-26,Daniel.y,Merge pull request #2265 from danielaskdd/edit-kg-new,misc
bf1897a6,2025-10-26,yangdx,Normalize entity order for undirected graph consistency,misc
11a1631d,2025-10-27,yangdx,Refactor entity edit and merge functions to support merge-on-rename,misc
25f829ef,2025-10-27,yangdx,Enable editing of entity_type field in node properties,misc
411e92e6,2025-10-27,yangdx,Fix vector deletion logging to show actual deleted count,misc
5155edd8,2025-10-27,yangdx,feat: Improve entity merge and edit UX,misc
8dfd3bf4,2025-10-27,yangdx,Replace global graph DB lock with fine-grained keyed locking,misc
97034f06,2025-10-27,yangdx,Add allow_merge parameter to entity update API endpoint,misc
ab32456a,2025-10-27,yangdx,Refactor entity merging with unified attribute merge function,misc
29c4a91d,2025-10-28,yangdx,Move relationship ID sorting to before vector DB operations,misc
88d12bea,2025-10-28,yangdx,Add offline Swagger UI support with custom static file serving,misc
af6aff33,2025-10-28,Daniel.y,Merge pull request #2266 from danielaskdd/merge-entity,misc
b32b2e8b,2025-10-28,yangdx,Refactor merge dialog and improve search history sync,misc
d0be68c8,2025-10-28,Daniel.y,Merge pull request #2273 from danielaskdd/static-docs,misc
ea006bd3,2025-10-28,yangdx,Fix entity update logic to handle renaming operations,misc
0fa2fc9c,2025-10-29,yangdx,Refactor systemd service config to use environment variables,misc
3fa79026,2025-10-29,yangdx,Fix Entity Source IDs Tracking Problem,misc
4a46d39c,2025-10-29,yangdx,Replace GUNICORN_CMD_ARGS with custom LIGHTRAG_GUNICORN_MODE flag,misc
54c48dce,2025-10-29,yangdx,Fix z-index layering for GraphViewer UI panels,misc
6489aaa7,2025-10-29,yangdx,Remove worker_exit hook and improve cleanup logging,misc
6dc027cb,2025-10-29,yangdx,Merge branch 'fix-exit-handler',misc
72b29659,2025-10-29,yangdx,Fix worker process cleanup to prevent shared resource conflicts,misc
816feefd,2025-10-29,yangdx,Fix cleanup coordination between Gunicorn and UvicornWorker lifecycles,misc
8af8bd80,2025-10-29,yangdx,docs: add frontend build steps to server installation guide,misc
a1cf01dc,2025-10-29,Daniel.y,Merge pull request #2280 from danielaskdd/fix-exit-handler,misc
c5ad9982,2025-10-29,Daniel.y,Merge pull request #2281 from danielaskdd/restore-query-example,misc
d5bcd14c,2025-10-29,yangdx,Refactor service deployment to use direct process execution,misc
783e2f3b,2025-10-30,yangdx,Update uv.lock,misc
78ccc4f6,2025-10-30,yangdx,Refactor .gitignore,misc
79a17c3f,2025-10-30,yangdx,Fix graph value handling for entity_id updates,misc
8145201d,2025-10-30,Daniel.y,Merge pull request #2284 from danielaskdd/fix-static-missiing,misc
f610fdaf,2025-10-30,yangdx,Merge branch 'main' into Anush008/main,misc
08b0283b,2025-10-31,Daniel.y,Merge pull request #2291 from danielaskdd/reload-popular-labels,misc
2496d871,2025-10-31,yangdx,Add data/ directory to .gitignore,misc
3b48cf16,2025-10-31,Daniel.y,Merge pull request #2289 from danielaskdd/fix-pycrptodome-missing,misc
4cbd8761,2025-10-31,yangdx,feat: Update node color and legent after entity_type changed,misc
6b4514c8,2025-10-31,yangdx,Reduce logging verbosity in entity merge relation processing,misc
71b27ec4,2025-10-31,yangdx,Optimize property edit dialog to use trimmed value consistently,misc
7ccc1fdd,2025-10-31,yangdx,Add frontend rebuild warning indicator to version display,misc
94cdbe77,2025-10-31,Daniel.y,Merge pull request #2290 from danielaskdd/delete-residual-edges,misc
afb5e5c1,2025-10-31,yangdx,Fix edge cleanup when deleting entities to prevent orphaned relationships,misc
bda52a87,2025-10-31,Daniel.y,Merge pull request #2287 from danielaskdd/fix-ui,misc
728721b1,2025-11-01,yangdx,Remove redundant separator lines in gunicorn shutdown handler,misc
bc8a8842,2025-11-01,Daniel.y,Merge pull request #2295 from danielaskdd/mix-query-without-kg,misc
ec2ea4fd,2025-11-01,yangdx,Rename function and variables for clarity in context building,misc
363f3051,2025-11-02,anouarbm,eval using open ai,misc
6975e69e,2025-11-03,Daniel.y,Merge pull request #2298 from anouar-bm/feat/langfuse-observability,misc
9495778c,2025-11-03,anouarbm,refactor: reorder Langfuse import logic for improved clarity,misc
9d69e8d7,2025-11-03,anouarbm,fix(api): Change content field from string to list in query responses,misc
c9e1c6c1,2025-11-03,anouarbm,fix(api): change content field to list in query responses,misc
e0966b65,2025-11-03,yangdx,Add BuildKit cache mounts to optimize Docker build performance,misc
6d61f70b,2025-11-04,yangdx,Clean up RAG evaluator logging and remove excessive separator lines,misc
7abc6877,2025-11-04,yangdx,Add comprehensive configuration and  compatibility fixes for RAGAS,misc
451257ae,2025-11-05,yangdx,Doc: Update news with recent features,misc
bd62bb30,2025-11-05,Daniel.y,Merge pull request #2314 from danielaskdd/ragas,misc
d803df94,2025-11-05,yangdx,Fix linting,misc
eb80771f,2025-11-05,Daniel.y,Merge pull request #2311 from danielaskdd/evalueate-cli,misc
0216325e,2025-11-06,yangdx,fix(ui): Remove dynamic import for i18n in settings store,misc
04ed709b,2025-11-06,yangdx,Optimize entity deletion by batching edge queries to avoid N+1 problem,misc
0c47d1a2,2025-11-06,yangdx,Fix linting,misc
155f5975,2025-11-06,yangdx,Fix node ID normalization and improve batch operation consistency,misc
3276b7a4,2025-11-06,yangdx,Fix linting,misc
5f49cee2,2025-11-06,yangdx,Merge branch 'main' into VOXWAVE-FOUNDRY/main,misc
678e17bb,2025-11-06,yangdx,"Revert ""fix(ui): Remove dynamic import for i18n in settings store""",misc
6e36ff41,2025-11-06,yangdx,Fix linting,misc
775933aa,2025-11-06,yangdx,Merge branch 'VOXWAVE-FOUNDRY/main',misc
9d0012b0,2025-11-06,Daniel.y,Merge pull request #2321 from danielaskdd/fix-doc-del-slow,misc
edf48d79,2025-11-06,Daniel.y,Merge pull request #2319 from danielaskdd/remove-deprecated-code,misc
366a1e0f,2025-11-07,Daniel.y,Merge pull request #2322 from danielaskdd/fix-delete,misc
c14f25b7,2025-11-07,yangdx,Add mandatory dimension parameter handling for Jina API compliance,misc
c580874a,2025-11-07,yangdx,Remove depreced sample code,misc
d5362573,2025-11-07,Daniel.y,Merge pull request #2327 from huangbhan/patch-1,misc
d95efcb9,2025-11-07,yangdx,Fix linting,misc
0f2c0de8,2025-11-08,yangdx,Fix linting,misc
1864b282,2025-11-08,yangdx,Add colored output formatting to migration confirmation display,misc
1334b3d8,2025-11-09,yangdx,Update uv.lock,misc
37b71189,2025-11-09,yangdx,Fix table alignment and add validation for empty cleanup selections,misc
8859eaad,2025-11-09,Daniel.y,Merge pull request #2334 from danielaskdd/hotfix-opena-streaming,misc
a75efb06,2025-11-09,yangdx,Fix: prevent source data corruption by target upsert function,misc
1ffb5338,2025-11-11,yangdx,Update env.example,misc
ff8f1588,2025-11-11,yangdx,Update env.example,misc
477c3f54,2025-11-12,Daniel.y,Merge pull request #2345 from danielaskdd/remove-response-type,misc
5127bf20,2025-11-12,Louis,Lacombe Add support for environment variable fallback for API key and default host for cloud models,misc
69ca3662,2025-11-12,Daniel.y,Merge pull request #2344 from danielaskdd/fix-josn-serialization-error,misc
8c07c918,2025-11-12,yangdx,Remove deprecated response_type parameter from query settings,misc
93a3e471,2025-11-12,yangdx,Remove deprecated response_type parameter from query settings,misc
f7432a26,2025-11-12,Louis,Lacombe Add support for environment variable fallback for API key and default host for cloud models,misc
28fba19b,2025-11-13,Daniel.y,Merge pull request #2352 from danielaskdd/docling-gunicorn-multi-worker,misc
297e4607,2025-11-13,yangdx,Merge branch 'main' into tongda/main,misc
2f2f35b8,2025-11-13,yangdx,Add macOS compatibility check for DOCLING with multi-worker Gunicorn,misc
343d3072,2025-11-13,yangdx,Update env.example,misc
470e2fd1,2025-11-13,Daniel.y,Merge pull request #2350 from danielaskdd/reduce-dynamic-import,misc
4b31942e,2025-11-13,yangdx,"refactor: move document deps to api group, remove dynamic imports",misc
63510478,2025-11-13,yangdx,Improve error handling and logging in cloud model detection,misc
67dfd856,2025-11-13,LacombeLouis,Add a better regex,misc
69a0b74c,2025-11-13,yangdx,"refactor: move document deps to api group, remove dynamic imports",misc
72f68c2a,2025-11-13,yangdx,Update env.example,misc
