commit,auth_date,author,subject,category
f2b6a068,2025-10-16,yangdx,Remove docling dependency and related packages from project,postgres
53240041,2025-10-17,Won-Kyu,Park remove deprecated dotenv package.,postgres
917e41aa,2025-10-17,Lucky,Verma Refactor SQL queries and improve input handling in PGKVStorage and PGDocStatusStorage,postgres
c0f69395,2025-10-18,yangdx,Merge branch 'security/fix-sql-injection-postgres',postgres
e0fd31a6,2025-10-20,yangdx,Fix logging message formatting,postgres
019dff52,2025-10-21,yangdx,Update truncation message format in properties tooltip,postgres
2f22336a,2025-10-21,Yasiru,Rangana Optimize PostgreSQL initialization performance,postgres
90720471,2025-10-21,Daniel.y,Merge pull request #2237 from yrangana/feat/optimize-postgres-initialization,postgres
00aa5e53,2025-10-22,yangdx,Improve entity identifier truncation warning message format,postgres
2476d6b7,2025-10-25,yangdx,Simplify pipeline status dialog by consolidating message sections,postgres
a97e5dad,2025-10-25,yangdx,Optimize PostgreSQL graph queries to avoid Cypher overhead and complexity,postgres
a9ec15e6,2025-10-25,yangdx,Resolve lock leakage issue during user cancellation handling,postgres
8584980e,2025-10-26,Anush008,refactor: Qdrant Multi-tenancy (Include staged),postgres
0692175c,2025-10-29,yangdx,Remove enable_logging parameter from get_data_init_lock call in MilvusVectorDBStorage,postgres
ec797276,2025-10-29,Daniel.y,Merge pull request #2279 from danielaskdd/fix-edge-merge-stage,postgres
ee7c683f,2025-10-29,yangdx,Fix swagger docs page problem in dev mode,postgres
16d3d82a,2025-10-30,yangdx,Include static files in package distribution,postgres
9a8742da,2025-10-31,yangdx,Improve entity merge logging by removing redundant message and fixing typo,postgres
6d4a5510,2025-11-01,yangdx,Remove redundant shutdown message from gunicorn,postgres
98f0464a,2025-11-02,ben,moussa anouar Update lightrag/evaluation/eval_rag_quality.py for launguage,postgres
83715a3a,2025-11-05,yangdx,Implement two-stage pipeline for RAG evaluation with separate semaphores,postgres
e5abe9dd,2025-11-05,yangdx,Restructure semaphore control to manage entire evaluation pipeline,postgres
36501b82,2025-11-06,yangdx,Initialize shared storage for all graph storage types in graph unit test,postgres
f3b2ba81,2025-11-06,yangdx,Translate graph storage test from Chinese to English,postgres
f6a0ea3a,2025-11-06,Daniel.y,Merge pull request #2320 from danielaskdd/fix-postgres,postgres
5c0ced6e,2025-11-07,domices,"Fix spelling errors in the ""使用PostgreSQL存储"" section of README-zh.md",postgres
1a91bcdb,2025-11-08,yangdx,Improve storage config validation and add config.ini fallback support,postgres
5be04263,2025-11-08,yangdx,Fix deadlock in JSON cache migration and prevent same storage selection,postgres
b72632e4,2025-11-08,yangdx,Add async generator lock management rule to cline extension,postgres
e95b02fb,2025-11-08,yangdx,Refactor storage selection UI with dynamic numbering and inline prompts,postgres
7bc6ccea,2025-11-09,yangdx,Add uv package manager support to installation docs,postgres
913fa1e4,2025-11-09,yangdx,Add concurrency warning for JsonKVStorage in cleanup tool,postgres
777c9873,2025-11-12,yangdx,Optimize JSON write with fast/slow path to reduce memory usage,postgres
f289cf62,2025-11-12,yangdx,Optimize JSON write with fast/slow path to reduce memory usage,postgres
4401f86f,2025-11-14,yangdx,Refactor exception handling in MemgraphStorage label methods,postgres
8283c86b,2025-11-14,yangdx,Refactor exception handling in MemgraphStorage label methods,postgres
393f8803,2025-11-17,yangdx,Improve LightRAG initialization checker tool with better usage docs,postgres
436e4143,2025-11-17,BukeLy,test: Enhance workspace isolation test suite to 100% coverage,postgres
6d6716e9,2025-11-17,yangdx,Add _default_workspace to shared storage finalization,postgres
7deb9a64,2025-11-17,yangdx,Refactor namespace lock to support reusable async context manager,postgres
d54d0d55,2025-11-17,yangdx,"Standardize empty workspace handling from ""_"" to """" across storage",postgres
e22ac52e,2025-11-17,yangdx,Auto-initialize pipeline status in LightRAG.initialize_storages(),postgres
fd486bc9,2025-11-17,yangdx,Refactor storage classes to use namespace instead of final_namespace,postgres
3096f844,2025-11-18,yangdx,fix(postgres): allow vchordrq.epsilon config when probes is empty,postgres
6cef8df1,2025-11-18,yangdx,Reduce log level and improve workspace mismatch message clarity,postgres
9109509b,2025-11-18,yangdx,Merge branch 'dev-postgres-vchordrq',postgres
b583b8a5,2025-11-18,yangdx,Merge branch 'feature/postgres-vchordrq-indexes' into dev-postgres-vchordrq,postgres
d07023c9,2025-11-18,wmsnp,feat(postgres_impl): add vchordrq vector index support and unify vector index creation logic,postgres
dbae327a,2025-11-18,yangdx,Merge branch 'main' into dev-postgres-vchordrq,postgres
f4bf5d27,2025-11-18,wmsnp,fix: add logger to configure_vchordrq() and format code,postgres
5cc91686,2025-11-19,yangdx,Expand AGENTS.md with testing controls and automation guidelines,postgres
1e415cff,2025-11-20,yangdx,Update postgreSQL docker image link,postgres
8835fc24,2025-11-24,copilot-swe-agent[bot],Improve edge case handling for max_tokens=1,postgres
e136da96,2025-11-24,copilot-swe-agent[bot],Initial plan,postgres
8c4d7a00,2025-11-25,yangdx,Refactor: Extract retry decorator to reduce code duplication in Neo4J storage,postgres
aeaa0b32,2025-12-01,yangdx,Add mhchem extension support for chemistry formulas in ChatMessage,postgres
48b6a6df,2025-12-02,Daniel.y,Merge pull request #2446 from danielaskdd/fix-postgres,postgres
d6019c82,2025-12-02,yangdx,Add CASCADE to AGE extension creation in PostgreSQL implementation,postgres
49197fbf,2025-10-11,yangdx,Update pymilvus to >=2.6.2 and add protobuf compatibility constraint,storage
baab9924,2025-10-11,yangdx,Update pymilvus dependency from 2.5.2 to >=2.6.2,storage
e5e16b7b,2025-10-21,yangdx,Fix Redis data migration error,storage
0fa9a2ee,2025-10-22,yangdx,Fix dimension type comparison in Milvus vector field validation,storage
042cbad0,2025-10-30,yangdx,Merge branch 'qdrant-multi-tenancy',storage
0498e80a,2025-10-30,yangdx,Merge branch 'main' into qdrant-multi-tenancy,storage
e8f5f57e,2025-11-10,yangdx,Update qdrant-client minimum version from 1.7.0 to 1.11.0,storage
8bb54833,2025-11-17,Daniel.y,Merge pull request #2368 from danielaskdd/milvus-vector-batching,storage
7aaa51cd,2025-11-24,yangdx,Add retry decorators to Neo4j read operations for resilience,storage
2832a2ca,2025-11-25,Daniel.y,Merge pull request #2417 from danielaskdd/neo4j-retry,storage
0e0b4a94,2025-10-16,yangdx,Improve Docker build workflow with automated multi-arch script and docs,ci
e6332ce5,2025-10-16,yangdx,Add reminder note to manual Docker build workflow,ci
656025b7,2025-11-18,yangdx,"Rename GitHub workflow from ""Tests"" to ""Offline Unit Tests""",ci
a11912ff,2025-11-18,yangdx,Add testing workflow guidelines to basic development rules,ci
445adfc9,2025-12-02,yangdx,Add name to lint-and-format job in GitHub workflow,ci
