commit,auth_date,author,subject,category,priority_idx,git_cherry_pick_cmd
4fef731f,2025-11-18,yangdx,Standardize test directory creation and remove tempfile dependency,tests,4,git cherry-pick 4fef731f
5da82bb0,2025-11-18,yangdx,Add pre-commit to pytest dependencies and format test code,tests,4,git cherry-pick 5da82bb0
6ae0c144,2025-11-18,yangdx,test: add concurrent execution to workspace isolation test,tests,4,git cherry-pick 6ae0c144
7e9c8ed1,2025-11-18,yangdx,Rename test classes to prevent warning from pytest,tests,4,git cherry-pick 7e9c8ed1
99262ada,2025-11-18,yangdx,Enhance workspace isolation test with distinct mock data and persistence,tests,4,git cherry-pick 99262ada
0fb2925c,2025-11-19,yangdx,Remove ascii_colors dependency and fix stream handling errors,tests,4,git cherry-pick 0fb2925c
d52adb64,2025-11-19,Daniel.y,Merge pull request #2390 from danielaskdd/fix-pytest-logging-error,tests,4,git cherry-pick d52adb64
5f91063c,2025-11-25,yangdx,Add ruff as dependency to pytest and evaluation extras,tests,4,git cherry-pick 5f91063c
90e38c20,2025-11-28,Christian,Clauss Keep GitHub Actions up to date with GitHub's Dependabot,tests,4,git cherry-pick 90e38c20
88357675,2025-12-01,dependabot[bot],Bump the github-actions group with 7 updates,tests,4,git cherry-pick 88357675
0f19f80f,2025-12-02,yangdx,Configure comprehensive Dependabot for Python and frontend dependencies,tests,4,git cherry-pick 0f19f80f
1f875122,2025-12-02,yangdx,Drop Python 3.10 and 3.11 from CI test matrix,tests,4,git cherry-pick 1f875122
268e4ff6,2025-12-02,yangdx,Refactor dependencies and add test extra in pyproject.toml,tests,4,git cherry-pick 268e4ff6
64760216,2025-12-02,yangdx,Configure Dependabot schedule with specific times and timezone,tests,4,git cherry-pick 64760216
d0509d6f,2025-12-02,Daniel.y,Merge pull request #2448 from HKUDS/dependabot/github_actions/github-actions-b6ffb444c9,tests,4,git cherry-pick d0509d6f
ecef842c,2025-12-02,yangdx,Update GitHub Actions to use latest versions (v6),tests,4,git cherry-pick ecef842c
561ba4e4,2025-12-03,yangdx,Fix trailing whitespace and update test mocking for rerank module,tests,4,git cherry-pick 561ba4e4
a31192dd,2025-10-05,yangdx,Update i18n file for pipeline UI text across locales,workspace,5,git cherry-pick a31192dd
a5253244,2025-10-21,yangdx,Simplify skip logging and reduce pipeline status updates,workspace,5,git cherry-pick a5253244
743aefc6,2025-10-24,yangdx,Add pipeline cancellation feature for graceful processing termination,workspace,5,git cherry-pick 743aefc6
77336e50,2025-10-24,yangdx,Improve error handling and add cancellation checks in pipeline,workspace,5,git cherry-pick 77336e50
f89b5ab1,2025-10-24,yangdx,Add pipeline cancellation feature with UI and i18n support,workspace,5,git cherry-pick f89b5ab1
81e3496a,2025-10-25,yangdx,Add confirmation dialog for pipeline cancellation,workspace,5,git cherry-pick 81e3496a
5f4a2804,2025-10-30,yangdx,Add Qdrant legacy collection migration with workspace support,workspace,5,git cherry-pick 5f4a2804
c36afecb,2025-10-30,yangdx,Remove redundant await call in file extraction pipeline,workspace,5,git cherry-pick c36afecb
58c83f9d,2025-10-31,yangdx,Add auto-refresh of popular labels when pipeline completes,workspace,5,git cherry-pick 58c83f9d
eb52ec94,2025-11-13,BukeLy,feat: Add workspace isolation support for pipeline status,workspace,5,git cherry-pick eb52ec94
18a48702,2025-11-15,BukeLy,fix: Add default workspace support for backward compatibility,workspace,5,git cherry-pick 18a48702
52c812b9,2025-11-17,yangdx,Fix workspace isolation for pipeline status across all operations,workspace,5,git cherry-pick 52c812b9
78689e88,2025-11-17,yangdx,Fix pipeline status namespace check to handle root case,workspace,5,git cherry-pick 78689e88
7ed0eac4,2025-11-17,yangdx,Fix workspace filtering logic in get_all_update_flags_status,workspace,5,git cherry-pick 7ed0eac4
926960e9,2025-11-17,yangdx,Refactor workspace handling to use default workspace and namespace locks,workspace,5,git cherry-pick 926960e9
9d7b7981,2025-11-17,yangdx,Add pipeline status validation before document deletion,workspace,5,git cherry-pick 9d7b7981
b6a5a90e,2025-11-17,yangdx,Fix NamespaceLock concurrent coroutine safety with ContextVar,workspace,5,git cherry-pick b6a5a90e
cdd53ee8,2025-11-17,yangdx,Remove manual initialize_pipeline_status() calls across codebase,workspace,5,git cherry-pick cdd53ee8
ddc76f0c,2025-11-17,yangdx,Merge branch 'main' into workspace-isolation,workspace,5,git cherry-pick ddc76f0c
e8383df3,2025-11-17,yangdx,Fix NamespaceLock context variable timing to prevent lock bricking,workspace,5,git cherry-pick e8383df3
f1d8f18c,2025-11-17,yangdx,Merge branch 'main' into workspace-isolation,workspace,5,git cherry-pick f1d8f18c
1745b30a,2025-11-18,yangdx,Fix missing workspace parameter in update flags status call,workspace,5,git cherry-pick 1745b30a
21ad990e,2025-11-18,yangdx,Improve workspace isolation tests with better parallelism checks and cleanup,workspace,5,git cherry-pick 21ad990e
4048fc4b,2025-11-18,yangdx,Fix: auto-acquire pipeline when idle in document deletion,workspace,5,git cherry-pick 4048fc4b
dfbc9736,2025-11-18,Daniel.y,Merge pull request #2369 from HKUDS/workspace-isolation,workspace,5,git cherry-pick dfbc9736
f8dd2e07,2025-11-18,yangdx,Fix namespace parsing when workspace contains colons,workspace,5,git cherry-pick f8dd2e07
93d445df,2025-11-25,yangdx,Add pipeline status lock function for legacy compatibility,workspace,5,git cherry-pick 93d445df
aac787ba,2025-10-05,yangdx,Clarify chunk tracking log message in _build_llm_context,chunking,6,git cherry-pick aac787ba
8eb0f83e,2025-10-12,yangdx,Simplify Vite build config by removing manual chunking strategy,chunking,6,git cherry-pick 8eb0f83e
35cd567c,2025-10-17,yangdx,Allow related chunks missing in knowledge graph queries,chunking,6,git cherry-pick 35cd567c
dc62c78f,2025-10-20,yangdx,Add entity/relation chunk tracking with configurable source ID limits,chunking,6,git cherry-pick dc62c78f
29bf5936,2025-10-25,yangdx,Fix entity and relation chunk cleanup in deletion pipeline,chunking,6,git cherry-pick 29bf5936
3fbd704b,2025-10-26,yangdx,Enhance entity/relation editing with chunk tracking synchronization,chunking,6,git cherry-pick 3fbd704b
a3370b02,2025-10-26,yangdx,Add chunk tracking cleanup to entity/relation deletion and creation,chunking,6,git cherry-pick a3370b02
2c09adb8,2025-10-27,yangdx,Add chunk tracking support to entity merge functionality,chunking,6,git cherry-pick 2c09adb8
c81a56a1,2025-10-28,yangdx,Fix entity and relationship deletion when no chunk references remain,chunking,6,git cherry-pick c81a56a1
0bbef981,2025-11-02,anouarbm,Optimize RAGAS evaluation with parallel execution and chunk content enrichment,chunking,6,git cherry-pick 0bbef981
963ad4c6,2025-11-02,anouarbm,docs: Add documentation and examples for include_chunk_content parameter,chunking,6,git cherry-pick 963ad4c6
6b0f9795,2025-11-06,yangdx,Add workspace parameter and remove chunk-based query unit tests,chunking,6,git cherry-pick 6b0f9795
807d2461,2025-11-06,yangdx,Remove unused chunk-based node/edge retrieval methods,chunking,6,git cherry-pick 807d2461
ea141e27,2025-11-07,yangdx,Fix: Remove redundant entity/relation chunk deletions,chunking,6,git cherry-pick ea141e27
77405006,2025-11-09,Tong,Da support async chunking func to improve processing performance when a heavy `chunking_func` is passed in by user,chunking,6,git cherry-pick 77405006
d137ba58,2025-11-09,Tong,Da support async chunking func to improve processing performance when a heavy `chunking_func` is passed in by user,chunking,6,git cherry-pick d137ba58
245df75d,2025-11-10,Tong,Da easier version: detect chunking_func result is coroutine or not,chunking,6,git cherry-pick 245df75d
50160254,2025-11-10,Tong,Da easier version: detect chunking_func result is coroutine or not,chunking,6,git cherry-pick 50160254
940bec0b,2025-11-13,yangdx,Support async chunking functions in LightRAG processing pipeline,chunking,6,git cherry-pick 940bec0b
af542391,2025-11-13,yangdx,Support async chunking functions in LightRAG processing pipeline,chunking,6,git cherry-pick af542391
1bfa1f81,2025-11-18,yangdx,Merge branch 'main' into fix_chunk_comment,chunking,6,git cherry-pick 1bfa1f81
24423c92,2025-11-18,yangdx,Merge branch 'fix_chunk_comment',chunking,6,git cherry-pick 24423c92
dacca334,2025-11-18,EightyOliveira,refactor(chunking): rename params and improve docstring for chunking_by_token_size,chunking,6,git cherry-pick dacca334
e77340d4,2025-11-18,yangdx,Adjust chunking parameters to match the default environment variable settings,chunking,6,git cherry-pick e77340d4
57332925,2025-11-19,yangdx,Add comprehensive tests for chunking with recursive splitting,chunking,6,git cherry-pick 57332925
6fea68bf,2025-11-19,yangdx,Fix ChunkTokenLimitExceededError message formatting,chunking,6,git cherry-pick 6fea68bf
f72f435c,2025-11-19,Daniel.y,Merge pull request #2389 from danielaskdd/fix-chunk-size,chunking,6,git cherry-pick f72f435c
f988a226,2025-11-19,yangdx,Add token limit validation for character-only chunking,chunking,6,git cherry-pick f988a226
fec7c67f,2025-11-19,yangdx,Add comprehensive chunking tests with multi-token tokenizer edge cases,chunking,6,git cherry-pick fec7c67f
a05bbf10,2025-11-22,netbrah,"Add Cohere reranker config, chunking, and tests",chunking,6,git cherry-pick a05bbf10
1d6ea0c5,2025-11-24,copilot-swe-agent[bot],Fix chunking infinite loop when overlap_tokens >= max_tokens,chunking,6,git cherry-pick 1d6ea0c5
9009abed,2025-12-03,yangdx,Fix top_n behavior with chunking to limit documents not chunks,chunking,6,git cherry-pick 9009abed
54f0a7d1,2025-10-14,DivinesLight,Quick fix to limit source_id ballooning while inserting nodes,ingestion,7,git cherry-pick 54f0a7d1
7871600d,2025-10-14,DivinesLight,Quick fix to limit source_id ballooning while inserting nodes,ingestion,7,git cherry-pick 7871600d
1154c568,2025-10-21,yangdx,Refactor deduplication calculation and remove unused variables,ingestion,7,git cherry-pick 1154c568
a25003c3,2025-10-27,yangdx,Fix relation deduplication logic and standardize log message prefixes,ingestion,7,git cherry-pick a25003c3
19c16bc4,2025-12-02,yangdx,Add content deduplication check for document insertion endpoints,ingestion,7,git cherry-pick 19c16bc4
459e4ddc,2025-12-02,yangdx,Clean up duplicate dependencies in package.json and lock file,ingestion,7,git cherry-pick 459e4ddc
8d28b959,2025-12-02,yangdx,Fix duplicate document responses to return original track_id,ingestion,7,git cherry-pick 8d28b959
