commit,auth_date,author,subject,category,priority_idx,git_cherry_pick_cmd
680e36c6,2025-11-14,yangdx,Improve Bedrock error handling with retry logic and custom exceptions,llm_cloud,9,git cherry-pick 680e36c6
f5b48587,2025-11-14,yangdx,Improve Bedrock error handling with retry logic and custom exceptions,llm_cloud,9,git cherry-pick f5b48587
95e1fb16,2025-11-17,yangdx,Remove final_namespace attribute for in-memory storage and use namespace in clean_llm_query_cache.py,llm_cloud,9,git cherry-pick 95e1fb16
a990c1d4,2025-11-17,BukeLy,fix: Correct Mock LLM output format in E2E test,llm_cloud,9,git cherry-pick a990c1d4
021b637d,2025-11-21,Daniel.y,Merge pull request #2403 from danielaskdd/azure-cot-handling,llm_cloud,9,git cherry-pick 021b637d
02fdceb9,2025-11-21,yangdx,Update OpenAI client to use stable API and bump minimum version to 2.0.0,llm_cloud,9,git cherry-pick 02fdceb9
1e477e95,2025-11-21,yangdx,Add lightrag-clean-llmqc console script entry point,llm_cloud,9,git cherry-pick 1e477e95
45f4f823,2025-11-21,yangdx,Refactor Azure OpenAI client creation to support client_configs merging,llm_cloud,9,git cherry-pick 45f4f823
8777895e,2025-11-21,Daniel.y,Merge pull request #2401 from danielaskdd/fix-openai-keyword-extraction,llm_cloud,9,git cherry-pick 8777895e
9f69c5bf,2025-11-21,yangdx,feat: Support structured output `parsed` from OpenAI,llm_cloud,9,git cherry-pick 9f69c5bf
ac9f2574,2025-11-21,yangdx,Improve Azure OpenAI wrapper functions with full parameter support,llm_cloud,9,git cherry-pick ac9f2574
b709f8f8,2025-11-21,yangdx,Consolidate Azure OpenAI implementation into main OpenAI module,llm_cloud,9,git cherry-pick b709f8f8
fafa1791,2025-11-21,yangdx,Fix Azure OpenAI model parameter to use deployment name consistently,llm_cloud,9,git cherry-pick fafa1791
ffd8da51,2025-11-21,yangdx,Improve Azure OpenAI compatibility and error handling,llm_cloud,9,git cherry-pick ffd8da51
49fb11e2,2025-11-22,yangdx,Update Azure OpenAI configuration examples,llm_cloud,9,git cherry-pick 49fb11e2
5f53de88,2025-11-22,yangdx,Fix Azure configuration examples and correct typos in env.example,llm_cloud,9,git cherry-pick 5f53de88
a898f054,2025-11-25,palanisd,Merge branch 'HKUDS:main' into cohere-rerank,rerank,10,git cherry-pick a898f054
8e50eef5,2025-12-02,yangdx,Merge branch 'main' into cohere-rerank,rerank,10,git cherry-pick 8e50eef5
f0d67f16,2025-12-03,yangdx,Merge branch 'cohere-rerank',rerank,10,git cherry-pick f0d67f16
